,document,term,tfidf
1189705,Gregory Peck,alzheimer,0.11312773739317367
1198967,Gregory Peck,haymes,0.10799301317468744
1193319,Gregory Peck,columbia,0.10399864970921206
1213014,Gregory Peck,welles,0.10011820611056975
616190,Greta Garbo,stewart,0.8688782401099344
603275,Greta Garbo,film,0.16040044305869658
608519,Greta Garbo,mann,0.07463324262958193
613050,Greta Garbo,received,0.05957201138031833
611413,Greta Garbo,persona,0.05769628626356125
605328,Greta Garbo,hitchcock,0.055861599811092046
610086,Greta Garbo,new,0.05527942232261772
603293,Greta Garbo,films,0.05346681435289886
603539,Greta Garbo,fonda,0.05049275113661851
616567,Greta Garbo,sullavan,0.04956440792839028
532657,Henry Fonda,nicholson,0.9231146735006449
525806,Henry Fonda,film,0.07528114917537057
534358,Henry Fonda,polanski,0.06995425984889782
529068,Henry Fonda,jack,0.052900785656139454
536803,Henry Fonda,said,0.05162432191488536
524464,Henry Fonda,easy,0.05013292514673826
536504,Henry Fonda,role,0.04726955878453501
517833,Henry Fonda,actor,0.04525191682810702
517714,Henry Fonda,academy,0.042740255348023164
536324,Henry Fonda,rider,0.042707777710570216
157917,Humphrey Bogart,bardot,0.8869478898007181
179449,Humphrey Bogart,vadim,0.1207876141455335
158936,Humphrey Bogart,brigitte,0.09875023884431795
164695,Humphrey Bogart,france,0.07944961185804303
168574,Humphrey Bogart,le,0.07700976702495656
156959,Humphrey Bogart,animal,0.06247160854750136
164771,Humphrey Bogart,french,0.060107486181001424
164284,Humphrey Bogart,film,0.058809132900710534
166009,Humphrey Bogart,hatred,0.05482996173925548
178777,Humphrey Bogart,trintignant,0.05482996173925548
125425,Ingrid Bergman,stanwyck,0.8130727119006185
123480,Ingrid Bergman,ruby,0.20920773868757647
112638,Ingrid Bergman,film,0.10798795602472591
106254,Ingrid Bergman,barbara,0.08828053182240721
118559,Ingrid Bergman,mildred,0.0798271400706991
112466,Ingrid Bergman,fay,0.07892683995178944
108256,Ingrid Bergman,cherryman,0.072011562016223
126371,Ingrid Bergman,taylor,0.0689787730947387
125547,Ingrid Bergman,stevens,0.06636298359646903
107560,Ingrid Bergman,byron,0.06537741833986765
1132785,Jack Nicholson,streep,0.899193173560216
1119735,Jack Nicholson,film,0.12745431000879634
1130433,Jack Nicholson,role,0.08142914250561988
1111764,Jack Nicholson,actress,0.0731979947249987
1113756,Jack Nicholson,best,0.0671981590918021
1113126,Jack Nicholson,award,0.06710774526594103
1111643,Jack Nicholson,academy,0.06310861305037
1124919,Jack Nicholson,mamma,0.05658592221174477
1125548,Jack Nicholson,meryl,0.05470376721278881
1113129,Jack Nicholson,awards,0.04856437643223167
237795,Jackie Chan,colbert,0.857996699529606
237324,Jackie Chan,chauchoin,0.12680890186818597
250628,Jackie Chan,pressman,0.12680890186818597
246466,Jackie Chan,loew,0.09862914589747797
237622,Jackie Chan,claudette,0.08937465620100062
241753,Jackie Chan,film,0.07043022359536211
242623,Jackie Chan,georges,0.06047589264400078
245112,Jackie Chan,jeanne,0.05847650315530184
235368,Jackie Chan,barbados,0.05635951194141599
243264,Jackie Chan,hagan,0.05635951194141599
216572,James Cagney,gable,0.8891823597627213
211778,James Cagney,clark,0.11062609895377047
215930,James Cagney,film,0.10207679952925897
220666,James Cagney,lombard,0.09810575910098941
221795,James Cagney,mgm,0.08380765072255339
217598,James Cagney,harlow,0.05414654037193158
213819,James Cagney,dillon,0.05349135242756208
231592,James Cagney,war,0.04152289629772655
231919,James Cagney,wind,0.041161825981591724
226628,James Cagney,role,0.040161363749216646
1327953,James Stewart,hara,0.4581243002558877
1333914,James Stewart,ozu,0.45489484820557025
1337965,James Stewart,setsuko,0.37218669398637566
1329644,James Stewart,japanese,0.2242185306823948
1329643,James Stewart,japan,0.15201659298656842
1333301,James Stewart,noriko,0.12406223132879188
1342589,James Stewart,yasujirō,0.12406223132879188
1326319,James Stewart,film,0.09396096908059942
1331741,James Stewart,masae,0.08270815421919459
1335795,James Stewart,radish,0.08270815421919459
547109,Jean Gabin,chan,0.9209201817650852
554895,Jean Gabin,jackie,0.16902420668573054
553793,Jean Gabin,hong,0.131158809740328
555618,Jean Gabin,kong,0.12403535593355804
551629,Jean Gabin,film,0.07127167854892856
552192,Jean Gabin,fu,0.06518041039297895
555668,Jean Gabin,kung,0.06518041039297895
547297,Jean Gabin,china,0.06201767796677902
547299,Jean Gabin,chinese,0.05508029498043462
550003,Jean Gabin,dragon,0.04838476880195725
1102200,Jeanne Moreau,pickford,0.870143600313618
1093581,Jeanne Moreau,fairbanks,0.14502393338560302
1099327,Jeanne Moreau,mary,0.1303961297869142
1093912,Jeanne Moreau,film,0.10446879838125422
1088049,Jeanne Moreau,biograph,0.09566089254135847
1088966,Jeanne Moreau,canadian,0.09114117409991968
1094910,Jeanne Moreau,gladys,0.09101600254354869
1108162,Jeanne Moreau,toronto,0.07874082394801604
1110325,Jeanne Moreau,zukor,0.07826800298838421
1095228,Jeanne Moreau,griffith,0.06852357498452574
341713,Joan Crawford,cooper,0.8849337977590948
345045,Joan Crawford,film,0.15071619206571207
345063,Joan Crawford,films,0.07408084016789238
345800,Joan Crawford,gary,0.07005468661488559
351274,Joan Crawford,montana,0.05209741753631231
360884,Joan Crawford,western,0.05115731548725189
342462,Joan Crawford,deeds,0.04896229203021847
